distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad,eleccion
Mendoza,PROYECTO JOVEN,3023.0,4,PASO
Mendoza,PROYECTO JOVEN,3024.0,0,PASO
Mendoza,UNION DEL CENTRO DEMOCRATICO,3018.0,101,PASO
Mendoza,UNION POR LA PATRIA,3005.0,140766,PASO
Mendoza,UNION POR LA PATRIA,3006.0,34756,PASO
Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,4964,PASO
Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,3710,PASO
Misiones,FRENTE LIBER.AR,3002.0,183,PASO
Misiones,FRENTE LIBER.AR,3003.0,135,PASO
Misiones,FRENTE LIBER.AR,3004.0,118,PASO
Misiones,FRENTE PATRIOTA FEDERAL,3021.0,3051,PASO
Misiones,HACEMOS POR NUESTRO PAIS,3001.0,8610,PASO
Misiones,JUNTOS POR EL CAMBIO,3007.0,40072,PASO
Misiones,JUNTOS POR EL CAMBIO,3008.0,82456,PASO
Misiones,LA LIBERTAD AVANZA,3016.0,277899,PASO
Misiones,MOVIMIENTO AL SOCIALISMO,3017.0,3704,PASO
Misiones,MOVIMIENTO DE ACCION VECINAL,3025.0,1947,PASO
Misiones,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,533,PASO
Misiones,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,1039,PASO
Misiones,MOVIMIENTO LIBRES DEL SUR,3019.0,4740,PASO
Misiones,POLITICA OBRERA,3020.0,3054,PASO
Misiones,PRINCIPIOS Y VALORES,3011.0,3938,PASO
Misiones,PRINCIPIOS Y VALORES,3012.0,30,PASO
Misiones,PRINCIPIOS Y VALORES,3013.0,14,PASO
Misiones,PRINCIPIOS Y VALORES,3014.0,25,PASO
Misiones,PRINCIPIOS Y VALORES,3015.0,36,PASO
Misiones,PROYECTO JOVEN,3022.0,62,PASO
Misiones,PROYECTO JOVEN,3023.0,26,PASO
Misiones,PROYECTO JOVEN,3024.0,19,PASO
Misiones,UNION DEL CENTRO DEMOCRATICO,3018.0,54,PASO
Misiones,UNION POR LA PATRIA,3005.0,157074,PASO
Misiones,UNION POR LA PATRIA,3006.0,18296,PASO
Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,13715,PASO
Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,5132,PASO
Neuquén,FRENTE PATRIOTA FEDERAL,3021.0,1851,PASO
Neuquén,HACEMOS POR NUESTRO PAIS,3001.0,7038,PASO
Neuquén,JUNTOS POR EL CAMBIO,3007.0,33444,PASO
